r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
389,-5.6667,33.85,186.75,"(0.82644, -0.0820046, 0.557021)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.499521723683569,27.97359212078956,,,,,,,,,,
3583,-5.6167,33.65,8.45,"(0.828441, -0.0814732, 0.554118)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390660>,-4.818556870644206,32.76895679368482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,-5.1667,33.5333,186.75,"(0.830178, -0.0750657, 0.552422)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7999630190470635,27.523402144024086,,,,,,,,,,
354,-5.0,33.5,186.75,"(0.830713, -0.0726779, 0.551937)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.931043672138409,27.440325460546095,,,,,,,,,,
356,-4.7167,32.6833,176.5,"(0.838818, -0.0692095, 0.539995)",707,600.0,<pygplates.pygplates.Feature object at 0x00000290703909E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.914228995598453,25.44190596588737,,,,,,,,,,,,
375,-4.3597,32.1597,169.7,"(0.844118, -0.0643541, 0.532281)",714,600.0,<pygplates.pygplates.Feature object at 0x0000029070390A50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.43277283271688,21.00238453751647,,,,,,,,,,,,,,
355,-4.1667,34.0,186.75,"(0.826846, -0.0602367, 0.559193)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390AC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8669539186670026,27.643825381668595,,,,,,,,,,
1238,-3.9333,43.4667,97.2,"(0.724065, -0.0497846, 0.687933)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070390B30>,,,,,,,,,,,,,,,,,,,12.075668771471035,38.323525430605365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1472,-3.7528,36.95,9.45,"(0.797447, -0.0523066, 0.601118)",,inf,<pygplates.pygplates.Feature object at 0x0000029070390510>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,-3.5333,37.15,9.45,"(0.795542, -0.0491216, 0.603904)",,inf,<pygplates.pygplates.Feature object at 0x0000029070390C10>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,-3.4333,32.2667,186.75,"(0.844055, -0.0506384, 0.533861)",714,600.0,<pygplates.pygplates.Feature object at 0x0000029070390BA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.603892107542546,26.09005864373383,,,,,,,,,,
2000,-3.25,34.1833,8.15,"(0.825914, -0.0468988, 0.561842)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390CF0>,-2.4612309773021845,33.25275893513663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,-3.0,33.0,169.7,"(0.837521, -0.0438926, 0.544639)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390DD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.226276411198674,21.250366389565233,,,,,,,,,,,,,,
3582,-2.65,35.0,6.3,"(0.818276, -0.0378733, 0.573576)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070390E40>,-1.8436830984123866,34.056953477087276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,-2.6333,42.2333,154.7,"(0.739632, -0.0340173, 0.672151)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070390F90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.154358629222385,24.999202542977955,,,,,,,,,,,,,,,,
662,-2.35,37.35,8.15,"(0.794276, -0.0325957, 0.606682)",,inf,<pygplates.pygplates.Feature object at 0x0000029070390C80>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,-2.2167,36.95,8.45,"(0.798562, -0.0309108, 0.601118)",,inf,<pygplates.pygplates.Feature object at 0x0000029070390F20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,-2.15,41.7833,154.7,"(0.745145, -0.0279744, 0.666315)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070390900>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.308882260969996,24.440848384017865,,,,,,,,,,,,,,,,
664,-2.1167,37.15,6.3,"(0.796513, -0.0294393, 0.603904)",,inf,<pygplates.pygplates.Feature object at 0x0000029070390D60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,-2.0833,42.85,57.6,"(0.732652, -0.0266513, 0.680081)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070390EB0>,,,,,,,,,,,5.895076557789802,33.505181659111635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,-1.95,42.8667,63.8,"(0.732514, -0.02494, 0.680295)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070391040>,,,,,,,,,,,,,7.8059376914080385,31.89813814070387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,-1.95,42.8667,63.8,"(0.732514, -0.02494, 0.680295)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290703910B0>,,,,,,,,,,,,,7.8059376914080385,31.89813814070387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,-1.9333,34.6333,8.45,"(0.822338, -0.0277582, 0.568322)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070391270>,-1.1461576314862911,33.67586396968453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,-1.6667,32.5167,186.75,"(0.842878, -0.0245257, 0.537545)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070391200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.426118383409266,25.49314828327647,,,,,,,,,,
357,-1.6667,34.25,176.5,"(0.82624, -0.0240416, 0.562805)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070391120>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.220286241115726,25.604491995266894,,,,,,,,,,,,
376,-1.6667,34.25,169.7,"(0.82624, -0.0240416, 0.562805)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070391190>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.930136712188725,21.781746509503055,,,,,,,,,,,,,,
3233,-1.6667,32.5167,196.05,"(0.842878, -0.0245257, 0.537545)",707,600.0,<pygplates.pygplates.Feature object at 0x0000029070391350>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.014849680629713,23.185676655582302,,,,,,,,
500,-1.6167,40.3389,154.7,"(0.761926, -0.0215048, 0.647307)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070391430>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.064911051426932,22.95826398832649,,,,,,,,,,,,,,,,
501,-1.4167,40.15,151.15,"(0.764125, -0.0188977, 0.644791)",304,600.0,<pygplates.pygplates.Feature object at 0x00000290703913C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.133530070269838,22.72376700741888,,,,,,,,,,,,,,,,
502,-1.4,40.25,154.7,"(0.763005, -0.0186474, 0.646124)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070391510>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.189959885496803,22.8101107928096,,,,,,,,,,,,,,,,
