r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
497,38.95,-9.05,154.7,"(0.768014, -0.122329, 0.628642)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD3C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7628035410702098,33.46626812848767,,,,,,,,
499,37.15,-8.1,154.7,"(0.789106, -0.112306, 0.603904)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD430>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48846642311312394,31.530811270508988,,,,,,,,
3482,37.1667,-7.9667,157.3,"(0.78919, -0.110446, 0.604136)",304,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD4A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6069436978866339,31.49389326497208,,,,,,,,
353,31.6833,-6.2667,186.75,"(0.845879, -0.0928884, 0.525224)",714,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD510>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4815901226319337,27.13550701335838,,
389,33.85,-5.6667,186.75,"(0.82644, -0.0820046, 0.557021)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6348082465526375,28.841807938551753,,
3583,33.65,-5.6167,8.45,"(0.828441, -0.0814732, 0.554118)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD5F0>,-5.8094999883112095,33.59344319510134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,33.5333,-5.1667,186.75,"(0.830178, -0.0750657, 0.552422)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD660>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.39665732473481,28.362589048813565,,
354,33.5,-5.0,186.75,"(0.830713, -0.0726779, 0.551937)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD6D0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2770111638068404,28.26599634174104,,
356,32.6833,-4.7167,176.5,"(0.838818, -0.0692095, 0.539995)",707,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD740>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3203127519962226,27.67128881514603,,,,
375,32.1597,-4.3597,169.7,"(0.844118, -0.0643541, 0.532281)",714,600.0,<pygplates.pygplates.Feature object at 0x0000016CD8DAD7B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3008131272395835,27.17909106747744,,,,,,
