r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
1473,37.15,-3.5333,9.45,"(0.795542, -0.0491216, 0.603904)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F0B0>,-4.361929386586538,35.69148266489313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,32.2667,-3.4333,186.75,"(0.844055, -0.0506384, 0.533861)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F200>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.975948578304695,24.14409264819954,,
2000,34.1833,-3.25,8.15,"(0.825914, -0.0468988, 0.561842)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F270>,-3.858749665700317,32.5000210543042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,33.0,-3.0,169.7,"(0.837521, -0.0438926, 0.544639)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F2E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0774136619835635,19.50808638564598,,,,,,
3582,35.0,-2.65,6.3,"(0.818276, -0.0378733, 0.573576)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F350>,-3.274840797254748,33.31896029565548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,42.2333,-2.6333,154.7,"(0.739632, -0.0340173, 0.672151)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F3C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.708471244401318,27.61758525049379,,,,,,,,
662,37.35,-2.35,8.15,"(0.794276, -0.0325957, 0.606682)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F430>,-3.2047266400155126,35.906576738609864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,36.95,-2.2167,8.45,"(0.798562, -0.0309108, 0.601118)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F4A0>,-3.0658243471669477,35.50837192719421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,41.7833,-2.15,154.7,"(0.745145, -0.0279744, 0.666315)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F510>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.663976861858893,27.043217263295432,,,,,,,,
664,37.15,-2.1167,6.3,"(0.796513, -0.0294393, 0.603904)",304,250.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F580>,-2.9717127666303953,35.709656467432744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,42.85,-2.0833,57.6,"(0.732652, -0.0266513, 0.680081)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F5F0>,,,,,,,,,,,-5.44943519655026,30.388708084397027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,42.8667,-1.95,63.8,"(0.732514, -0.02494, 0.680295)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F660>,,,,,,,,,,,,,-5.641754099967279,30.386138536950956,,,,,,,,,,,,,,,,,,,,,,,,,,
728,42.8667,-1.95,63.8,"(0.732514, -0.02494, 0.680295)",304,650.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F6D0>,,,,,,,,,,,,,-5.641754099967279,30.386138536950956,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,34.6333,-1.9333,8.45,"(0.822338, -0.0277582, 0.568322)",706,320.0,<pygplates.pygplates.Feature object at 0x0000016CD8D9F740>,-2.5699968480425905,32.955186135946484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
