r_number,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_205,lat_205,lng_215,lat_215,lng_225,lat_225,lng_235,lat_235
499,-8.1,37.15,154.7,"(0.789106, -0.112306, 0.603904)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070395C10>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.520794599918823,25.392478616442958,,,,,,,,,,,,,,,,
3482,-7.9667,37.1667,157.3,"(0.78919, -0.110446, 0.604136)",304,600.0,<pygplates.pygplates.Feature object at 0x0000029070395BA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.628524590408894,25.346764867716242,,,,,,,,,,,,,,,,
353,-6.2667,31.6833,186.75,"(0.845879, -0.0928884, 0.525224)",714,600.0,<pygplates.pygplates.Feature object at 0x0000029070395B30>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.590848374118992,25.090943283801668,,,,,,,,,,
389,-5.6667,33.85,186.75,"(0.82644, -0.0820046, 0.557021)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395AC0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.047790069434665,26.889352498380617,,,,,,,,,,
3583,-5.6167,33.65,8.45,"(0.828441, -0.0814732, 0.554118)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395A50>,-5.6996561043438465,31.954877607527113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,-5.1667,33.5333,186.75,"(0.830178, -0.0750657, 0.552422)",706,600.0,<pygplates.pygplates.Feature object at 0x00000290703959E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.337487845359044,26.43510268341293,,,,,,,,,,
354,-5.0,33.5,186.75,"(0.830713, -0.0726779, 0.551937)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.465868889147823,26.35025010358991,,,,,,,,,,
356,-4.7167,32.6833,176.5,"(0.838818, -0.0692095, 0.539995)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395900>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.688858825168456,22.38833478993226,,,,,,,,,,,,
375,-4.3597,32.1597,169.7,"(0.844118, -0.0643541, 0.532281)",714,600.0,<pygplates.pygplates.Feature object at 0x0000029070395890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.604693627710304,19.851788656721414,,,,,,,,,,,,,,
355,-4.1667,34.0,186.75,"(0.826846, -0.0602367, 0.559193)",706,600.0,<pygplates.pygplates.Feature object at 0x0000029070395820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.396040205162722,26.54114229035347,,,,,,,,,,
