occurrence_no,lng,lat,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
212325,36.317001,3.975,1.29985,"(0.803814, 0.590828, 0.0693212)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA3C0>,35.60270087321091,3.6539563447341967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.60270087321091,3.6539563447341967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212327,36.317001,3.975,1.29985,"(0.803814, 0.590828, 0.0693212)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA430>,35.60270087321091,3.6539563447341967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.60270087321091,3.6539563447341967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212463,36.266899,4.3083,1.6845,"(0.803992, 0.589876, 0.0751232)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA4A0>,35.55366039149727,3.987410563603715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55366039149727,3.987410563603715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212682,36.283298,4.2583,1.6845,"(0.803876, 0.590145, 0.074253)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA510>,35.569896279923505,3.93735977255272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.569896279923505,3.93735977255272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212685,36.283298,4.2583,1.6845,"(0.803876, 0.590145, 0.074253)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA580>,35.569896279923505,3.93735977255272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.569896279923505,3.93735977255272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212687,36.283298,4.2583,1.6845,"(0.803876, 0.590145, 0.074253)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA5F0>,35.569896279923505,3.93735977255272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.569896279923505,3.93735977255272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212698,36.262501,4.2375,1.6845,"(0.804111, 0.589869, 0.0738909)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA660>,35.54904263693338,3.9166245998735945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.54904263693338,3.9166245998735945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212701,36.262501,4.2375,1.6845,"(0.804111, 0.589869, 0.0738909)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA6D0>,35.54904263693338,3.9166245998735945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.54904263693338,3.9166245998735945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212703,36.262501,4.2375,1.6845,"(0.804111, 0.589869, 0.0738909)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA740>,35.54904263693338,3.9166245998735945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.54904263693338,3.9166245998735945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212716,36.233898,4.2875,1.6845,"(0.804353, 0.589429, 0.0747612)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA7B0>,35.520607797227285,3.9667134453589306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.520607797227285,3.9667134453589306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212719,36.233898,4.2875,1.6845,"(0.804353, 0.589429, 0.0747612)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA820>,35.520607797227285,3.9667134453589306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.520607797227285,3.9667134453589306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212721,36.233898,4.2875,1.6845,"(0.804353, 0.589429, 0.0747612)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA890>,35.520607797227285,3.9667134453589306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.520607797227285,3.9667134453589306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212744,36.4417,3.7667,2.67235,"(0.802724, 0.592721, 0.065694)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA900>,35.72670507595799,3.4452705372142223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72670507595799,3.4452705372142223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212747,36.4417,3.7667,2.67235,"(0.802724, 0.592721, 0.065694)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA970>,35.72670507595799,3.4452705372142223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72670507595799,3.4452705372142223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212749,36.4417,3.7667,2.67235,"(0.802724, 0.592721, 0.065694)",709,600.0,<pygplates.pygplates.Feature object at 0x00000212716AA9E0>,35.72670507595799,3.4452705372142223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72670507595799,3.4452705372142223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
